"MAXIMUM_INSTALLMENT_AMOUNT","S_NAME"
"25000.00",SBI Small Cap Fund Reg Gr
"25000.00",SBI Small Cap Fund Reg IDCW-P
"500000.00",HSBC Credit Risk Reg IDCW-P
"500000.00",HSBC Credit Risk Reg Gr
"25000.00",Mirae Asset Emerging Bluechip Gr
"25000.00",Mirae Asset Emerging Bluechip IDCW-P
"500000.00",Nippon India Small Cap Gr
"500000.00",Nippon India Small Cap IDCW-P
"500000.00",Nippon India Small Cap Gr Bns
"500000.00",HSBC Credit Risk Dir IDCW-P
"500000.00",HSBC Credit Risk Dir Gr
"25000.00",Mirae Asset Emerging Bluechip Dir Gr
"25000.00",Mirae Asset Emerging Bluechip Dir IDCW-P
"500000.00",Nippon India Small Cap Dir Gr
"500000.00",Nippon India Small Cap Dir IDCW-P
"25000.00",SBI Small Cap Fund Dir IDCW-P
"25000.00",SBI Small Cap Fund Dir Gr
"50000.00",Franklin India LS FOF 20s Dir IDCW-P
"50000.00",Franklin India LS FOF 20s Dir Gr
"50000.00",Franklin India LS FOF 30s Dir IDCW-P
"25000.00",Franklin India LS FOF 30s Dir Gr
"50000.00",Franklin India LS FOF 40s Dir IDCW-P
"50000.00",Franklin India LS FOF 40s Dir Gr
"50000.00",Franklin India LS FOF 50s+ Dir IDCW-P
"25000.00",Franklin India LS FOF 50s+ Dir Gr
"500000.00",HSBC Credit Risk Reg Ann IDCW-P
"500000.00",HSBC Credit Risk Dir Ann IDCW-P
"50000.00",Franklin India LS FOF 20s Dir IDCW-R
"50000.00",Franklin India LS FOF 20s Dir IDCW-R
"50000.00",Franklin India LS FOF 20s IDCW-R
"50000.00",Franklin India LS FOF 20s IDCW-R
"25000.00",Franklin India LS FOF 30s Dir IDCW-R
"25000.00",Franklin India LS FOF 30s Dir IDCW-R
"25000.00",Franklin India LS FOF 30s IDCW-R
"25000.00",Franklin India LS FOF 30s IDCW-R
"50000.00",Franklin India LS FOF 40s Dir IDCW-R
"50000.00",Franklin India LS FOF 40s Dir IDCW-R
"50000.00",Franklin India LS FOF 40s IDCW-R
"50000.00",Franklin India LS FOF 40s IDCW-R
"25000.00",Franklin India LS FOF 50s+ Dir IDCW-R
"25000.00",Franklin India LS FOF 50s+ Dir IDCW-R
"25000.00",Franklin India LS FOF 50s+ IDCW-R
"25000.00",Franklin India LS FOF 50s+ IDCW-R
"500000.00",HSBC Credit Risk Reg Ann IDCW-R
"500000.00",HSBC Credit Risk Reg Ann IDCW-R
"500000.00",HSBC Credit Risk Dir Ann IDCW-R
"500000.00",HSBC Credit Risk Dir Ann IDCW-R
"500000.00",HSBC Credit Risk Dir IDCW-R
"500000.00",HSBC Credit Risk Dir IDCW-R
"500000.00",HSBC Credit Risk Reg IDCW-R
"500000.00",HSBC Credit Risk Reg IDCW-R
"25000.00",Mirae Asset Emerging Bluechip Dir IDCW-R
"25000.00",Mirae Asset Emerging Bluechip IDCW-R
"500000.00",Nippon India Small Cap Dir IDCW-R
"500000.00",Nippon India Small Cap IDCW-R
"25000.00",SBI Small Cap Fund Dir IDCW-R
"25000.00",SBI Small Cap Fund Dir IDCW-R
"25000.00",SBI Small Cap Fund Reg IDCW-R
"25000.00",SBI Small Cap Fund Reg IDCW-R
"10000.00",HDFC Defence Dir Gr
"10000.00",HDFC Defence Dir IDCW-P
"10000.00",HDFC Defence Dir IDCW-P
"10000.00",HDFC Defence Dir IDCW-R
"10000.00",HDFC Defence Reg Gr
"10000.00",HDFC Defence Reg IDCW-P
"10000.00",HDFC Defence Reg IDCW-P
"10000.00",HDFC Defence Reg IDCW-R
"50000.00",Franklin India LS FOF 20s IDCW-P
"50000.00",Franklin India LS FOF 30s IDCW-P
"50000.00",Franklin India LS FOF 20s Gr
"50000.00",Franklin India LS FOF 40s IDCW-P
"25000.00",Franklin India LS FOF 30s Gr
"50000.00",Franklin India LS FOF 40s Gr
"50000.00",Franklin India LS FOF 50s+ IDCW-P
"25000.00",Franklin India LS FOF 50s+ Gr
